TTI[2333] - trigger[170, 60 ]
TTI[2335] - trigger[14 , 125]
TTI[2340] - trigger[87 , 41 ]
TTI[2345] - trigger[97 , 220]
TTI[2350] - trigger[20 , 127]
TTI[2363] - trigger[96 , 32 ]
TTI[2370] - trigger[214, 111]
TTI[2371] - trigger[3  , 159]
TTI[2376] - trigger[100, 13 ]
TTI[2382] - trigger[78 , 119]
TTI[2382] - trigger[207, 32 ]
TTI[2384] - trigger[151, 100]
TTI[2391] - trigger[191, 162]
TTI[2395] - trigger[59 , 92 ]
TTI[2398] - trigger[156, 90 ]
TTI[2399] - trigger[135, 61 ]
TTI[2403] - trigger[28 , 43 ]
TTI[2406] - trigger[209, 177]
TTI[2417] - trigger[226, 169]
TTI[2421] - trigger[83 , 140]
TTI[2425] - trigger[169, 0  ]
TTI[2427] - trigger[101, 90 ]
TTI[2430] - trigger[155, 16 ]
TTI[2433] - trigger[80 , 140]
TTI[2439] - trigger[27 , 166]
TTI[2444] - trigger[129, 70 ]
TTI[2446] - trigger[167, 11 ]
TTI[2447] - trigger[109, 180]
TTI[2451] - trigger[5  , 90 ]
TTI[2460] - trigger[212, 176]
TTI[2481] - trigger[65 , 191]
TTI[2483] - trigger[66 , 202]
TTI[2488] - trigger[89 , 145]
TTI[2495] - trigger[91 , 42 ]
TTI[2505] - trigger[5  , 194]
TTI[2525] - trigger[157, 39 ]
TTI[2529] - trigger[52 , 59 ]
TTI[2535] - trigger[188, 76 ]
TTI[2544] - trigger[36 , 171]
TTI[2546] - trigger[2  , 175]
TTI[2546] - trigger[218, 107]
TTI[2547] - trigger[215, 4  ]
TTI[2548] - trigger[50 , 190]
TTI[2561] - trigger[187, 68 ]
TTI[2565] - trigger[71 , 123]
TTI[2570] - trigger[141, 155]
TTI[2576] - trigger[78 , 77 ]
TTI[2602] - trigger[35 , 103]
TTI[2602] - trigger[145, 30 ]
TTI[2614] - trigger[88 , 137]
TTI[2619] - trigger[222, 169]
TTI[2625] - trigger[2  , 208]
TTI[2625] - trigger[197, 52 ]
TTI[2633] - trigger[89 , 94 ]
TTI[2655] - trigger[160, 212]
TTI[2658] - trigger[107, 173]
TTI[2665] - trigger[117, 170]
TTI[2668] - trigger[191, 24 ]
TTI[2683] - trigger[68 , 184]
TTI[2697] - trigger[207, 24 ]
TTI[2701] - trigger[22 , 106]
TTI[2702] - trigger[191, 151]
TTI[2703] - trigger[179, 211]
TTI[2705] - trigger[137, 212]
TTI[2709] - trigger[16 , 2  ]
TTI[2713] - trigger[223, 133]
